[17.2.2023 | 16:57:19] hello
[17.2.2023 | 16:57:20] world
[17.2.2023 | 16:57:25] 123456
[17.2.2023 | 16:57:28] 1234567
[17.2.2023 | 16:57:30] 12345678
[17.2.2023 | 16:57:30] 
[17.2.2023 | 16:57:39] 1
[17.2.2023 | 16:57:50] 1
[17.2.2023 | 16:57:50] 1
[17.2.2023 | 16:57:52] 1
[17.2.2023 | 16:57:53] 1
[17.2.2023 | 16:57:54] 2
[17.2.2023 | 16:57:55] 2
[17.2.2023 | 16:57:56] 2
[17.2.2023 | 16:57:59] ERROR: Unable to read msg
[17.2.2023 | 16:57:59] ERROR: error SSL_ERROR_SYSCALL

[17.2.2023 | 16:57:59] 
